insertId,jsonPayload.levelname,jsonPayload.message,"labels.""compute.googleapis.com/resource_id""","labels.""compute.googleapis.com/resource_name""","labels.""compute.googleapis.com/zone""","labels.""ml.googleapis.com/endpoint""","labels.""ml.googleapis.com/job_id/log_area""","labels.""ml.googleapis.com/job_state""","labels.""ml.googleapis.com/tpu_worker_id""","labels.""ml.googleapis.com/trial_id""","labels.""ml.googleapis.com/trial_type""",logName,receiveLocation,receiveTimestamp,resource.labels.job_id,resource.labels.project_id,resource.labels.task_name,resource.type,severity,textPayload,timestamp
1w9cpold2kco,,,,,,,,FAILED,,,,projects/qwiklabs-gcp-03-0f91e49b4fd6/logs/ml.googleapis.com%2F7361657851825094656,,2023-10-22T17:23:48.541103263Z,7361657851825094656,qwiklabs-gcp-03-0f91e49b4fd6,service,ml_job,INFO,Job failed.,2023-10-22T17:23:47.416738833Z
1w9cpold2kcm,,,,,,,,,,,,projects/qwiklabs-gcp-03-0f91e49b4fd6/logs/ml.googleapis.com%2F7361657851825094656,,2023-10-22T17:23:48.541103263Z,7361657851825094656,qwiklabs-gcp-03-0f91e49b4fd6,service,ml_job,INFO,Finished tearing down training program.,2023-10-22T17:23:47.199431535Z
1w9cpold2k8o,,,,,,,,,,,,projects/qwiklabs-gcp-03-0f91e49b4fd6/logs/ml.googleapis.com%2F7361657851825094656,,2023-10-22T17:23:00.532829104Z,7361657851825094656,qwiklabs-gcp-03-0f91e49b4fd6,service,ml_job,ERROR,The replica workerpool0-0 exited with a non-zero status of 1. Termination reason: Error. To find out more about why your job exited please check the logs: https://console.cloud.google.com/logs/viewer?project=780638309579&resource=ml_job%2Fjob_id%2F7361657851825094656&advancedFilter=resource.type%3D%22ml_job%22%0Aresource.labels.job_id%3D%227361657851825094656%22,2023-10-22T17:22:58.809180577Z
11qzfhlf9whwhc,ERROR,google.api_core.exceptions.ServiceUnavailable: 503 The service is currently unavailable.,5938196076922728443,gke-cml-1022-164151--e2-standard-4-43-6e745f34-0n8p,us-central1-b,,root,,,,,projects/qwiklabs-gcp-03-0f91e49b4fd6/logs/workerpool0-0,,2023-10-22T17:22:36.187374552Z,7361657851825094656,qwiklabs-gcp-03-0f91e49b4fd6,workerpool0-0,ml_job,ERROR,,2023-10-22T17:22:32.798752125Z
11qzfhlf9whwhb,ERROR,"  File ""<string>"", line 3, in raise_from",5938196076922728443,gke-cml-1022-164151--e2-standard-4-43-6e745f34-0n8p,us-central1-b,,root,,,,,projects/qwiklabs-gcp-03-0f91e49b4fd6/logs/workerpool0-0,,2023-10-22T17:22:36.187374552Z,7361657851825094656,qwiklabs-gcp-03-0f91e49b4fd6,workerpool0-0,ml_job,ERROR,,2023-10-22T17:22:32.798548049Z
11qzfhlf9whwha,ERROR,"    six.raise_from(exceptions.from_grpc_error(exc), exc)",5938196076922728443,gke-cml-1022-164151--e2-standard-4-43-6e745f34-0n8p,us-central1-b,,root,,,,,projects/qwiklabs-gcp-03-0f91e49b4fd6/logs/workerpool0-0,,2023-10-22T17:22:36.187374552Z,7361657851825094656,qwiklabs-gcp-03-0f91e49b4fd6,workerpool0-0,ml_job,ERROR,,2023-10-22T17:22:32.798542126Z
11qzfhlf9whwh9,ERROR,"  File ""/opt/python3.7/lib/python3.7/site-packages/google/api_core/grpc_helpers.py"", line 69, in error_remapped_callable",5938196076922728443,gke-cml-1022-164151--e2-standard-4-43-6e745f34-0n8p,us-central1-b,,root,,,,,projects/qwiklabs-gcp-03-0f91e49b4fd6/logs/workerpool0-0,,2023-10-22T17:22:36.187374552Z,7361657851825094656,qwiklabs-gcp-03-0f91e49b4fd6,workerpool0-0,ml_job,ERROR,,2023-10-22T17:22:32.798535457Z
11qzfhlf9whwh8,ERROR,"    return wrapped_func(*args, **kwargs)",5938196076922728443,gke-cml-1022-164151--e2-standard-4-43-6e745f34-0n8p,us-central1-b,,root,,,,,projects/qwiklabs-gcp-03-0f91e49b4fd6/logs/workerpool0-0,,2023-10-22T17:22:36.187374552Z,7361657851825094656,qwiklabs-gcp-03-0f91e49b4fd6,workerpool0-0,ml_job,ERROR,,2023-10-22T17:22:32.798521103Z
11qzfhlf9whwh7,ERROR,"  File ""/opt/python3.7/lib/python3.7/site-packages/google/api_core/gapic_v1/method.py"", line 145, in __call__",5938196076922728443,gke-cml-1022-164151--e2-standard-4-43-6e745f34-0n8p,us-central1-b,,root,,,,,projects/qwiklabs-gcp-03-0f91e49b4fd6/logs/workerpool0-0,,2023-10-22T17:22:36.187374552Z,7361657851825094656,qwiklabs-gcp-03-0f91e49b4fd6,workerpool0-0,ml_job,ERROR,,2023-10-22T17:22:32.798240812Z
11qzfhlf9whwh6,ERROR,"    response = rpc(request, retry=retry, timeout=timeout, metadata=metadata,)",5938196076922728443,gke-cml-1022-164151--e2-standard-4-43-6e745f34-0n8p,us-central1-b,,root,,,,,projects/qwiklabs-gcp-03-0f91e49b4fd6/logs/workerpool0-0,,2023-10-22T17:22:36.187374552Z,7361657851825094656,qwiklabs-gcp-03-0f91e49b4fd6,workerpool0-0,ml_job,ERROR,,2023-10-22T17:22:32.798224450Z
11qzfhlf9whwh5,ERROR,"  File ""/opt/python3.7/lib/python3.7/site-packages/google/cloud/aiplatform_v1/services/pipeline_service/client.py"", line 548, in get_training_pipeline",5938196076922728443,gke-cml-1022-164151--e2-standard-4-43-6e745f34-0n8p,us-central1-b,,root,,,,,projects/qwiklabs-gcp-03-0f91e49b4fd6/logs/workerpool0-0,,2023-10-22T17:22:36.187374552Z,7361657851825094656,qwiklabs-gcp-03-0f91e49b4fd6,workerpool0-0,ml_job,ERROR,,2023-10-22T17:22:32.797925821Z
11qzfhlf9whwh4,ERROR,"    name=self.resource_name",5938196076922728443,gke-cml-1022-164151--e2-standard-4-43-6e745f34-0n8p,us-central1-b,,root,,,,,projects/qwiklabs-gcp-03-0f91e49b4fd6/logs/workerpool0-0,,2023-10-22T17:22:36.187374552Z,7361657851825094656,qwiklabs-gcp-03-0f91e49b4fd6,workerpool0-0,ml_job,ERROR,,2023-10-22T17:22:32.797912206Z
